Mv,Hc,Skew,Jdp,File
0.674,4.99437,0.0,0.55,11.0
0.9,4.9936,0.0,0.55,12.0
0.914,4.98819,0.0,0.55,13.0
0.93,4.98507,0.0,0.55,14.0
0.944,4.98729,0.0,0.55,15.0
0.958,4.98164,0.0,0.55,16.0
0.64,4.97965,0.0,0.55,17.0
0.968,4.98571,0.0,0.55,18.0
0.976,4.99013,0.0,0.55,19.0
0.982,4.99022,0.0,0.55,20.0
0.99,4.98647,0.0,0.55,21.0
0.998,5.60432,0.0,0.55,22.0
0.994,4.99894,0.0,0.55,23.0
0.996,5.00904,0.0,0.55,24.0
0.996,5.02684,0.0,0.55,25.0
0.998,5.04263,0.0,0.55,26.0
0.998,5.05856,0.0,0.55,27.0
0.998,5.0685,0.0,0.55,28.0
0.658,4.98331,0.0,0.55,29.0
0.998,5.10688,0.0,0.55,30.0
0.998,5.11149,0.0,0.55,31.0
0.998,5.15204,0.0,0.55,32.0
0.69,4.99103,0.0,0.55,33.0
0.998,5.16677,0.0,0.55,34.0
0.998,5.2014,0.0,0.55,35.0
0.998,5.23366,0.0,0.55,36.0
0.998,5.25509,0.0,0.55,37.0
0.998,5.26577,0.0,0.55,38.0
0.998,5.29977,0.0,0.55,39.0
0.998,5.80471,0.0,0.55,40.0
0.706,4.98773,0.0,0.55,41.0
0.998,6.12524,0.0,0.55,42.0
0.726,4.98097,0.0,0.55,43.0
0.998,6.28363,0.0,0.55,44.0
0.568,4.97785,0.0,0.6,0.0
0.998,5.26332,0.0,0.6,1.0
0.998,6.57364,0.0,0.6,2.0
0.686,4.98201,0.0,0.6,3.0
0.7,4.99029,0.0,0.6,4.0
0.718,4.98524,0.0,0.6,5.0
0.58,4.9755,0.0,0.6,6.0
0.74,4.97868,0.0,0.6,7.0
0.758,4.9888,0.0,0.6,8.0
0.778,4.99803,0.0,0.6,9.0
0.798,4.99486,0.0,0.6,10.0
0.818,4.99308,0.0,0.6,11.0
0.622,4.98327,0.0,0.6,12.0
0.834,4.99727,0.0,0.6,13.0
0.852,4.98604,0.0,0.6,14.0
0.872,4.98726,0.0,0.6,15.0
0.888,4.98252,0.0,0.6,16.0
0.904,4.98406,0.0,0.6,17.0
0.594,4.99149,0.0,0.6,18.0
0.92,4.98225,0.0,0.6,19.0
0.936,4.98029,0.0,0.6,20.0
0.948,4.98376,0.0,0.6,21.0
0.962,4.9906,0.0,0.6,22.0
0.998,5.49917,0.0,0.6,23.0
0.972,4.98313,0.0,0.6,24.0
0.98,4.98336,0.0,0.6,25.0
0.986,4.99872,0.0,0.6,26.0
0.99,5.00709,0.0,0.6,27.0
0.994,5.02702,0.0,0.6,28.0
0.996,5.03597,0.0,0.6,29.0
0.606,4.98802,0.0,0.6,30.0
0.998,5.06151,0.0,0.6,31.0
0.998,5.07113,0.0,0.6,32.0
0.998,5.10222,0.0,0.6,33.0
0.638,4.99376,0.0,0.6,34.0
0.998,5.1145,0.0,0.6,35.0
0.998,5.13952,0.0,0.6,36.0
0.998,5.16939,0.0,0.6,37.0
0.998,5.19289,0.0,0.6,38.0
0.998,5.21618,0.0,0.6,39.0
0.998,5.24166,0.0,0.6,40.0
0.998,5.76037,0.0,0.6,41.0
0.654,4.99856,0.0,0.6,42.0
0.998,6.02386,0.0,0.6,43.0
0.67,4.98498,0.0,0.6,44.0
0.998,6.15785,0.0,0.6,45.0
0.532,4.98223,0.0,0.65,0.0
0.998,5.20547,0.0,0.65,1.0
0.998,6.39215,0.0,0.65,2.0
0.634,4.9878,0.0,0.65,3.0
0.65,4.97861,0.0,0.65,4.0
0.666,4.98346,0.0,0.65,5.0
0.544,4.98954,0.0,0.65,6.0
0.682,4.98877,0.0,0.65,7.0
0.696,4.9795,0.0,0.65,8.0
0.712,4.98759,0.0,0.65,9.0
0.732,4.99635,0.0,0.65,10.0
0.752,4.99789,0.0,0.65,11.0
0.578,4.99033,0.0,0.65,12.0
0.768,4.99185,0.0,0.65,13.0
0.788,4.99027,0.0,0.65,14.0
0.806,4.98578,0.0,0.65,15.0
0.824,4.98326,0.0,0.65,16.0
